Date,^FTSE,III,ADM,AAL,ANTO,AHT,ABF,AZN,AUTO,AVST,AVV,AV,BA,BARC,BDEV,BKG,BHP,BP,BATS,BLND,BT-A,BNZL,BRBY,CCH,CPG,CRH,CRDA,DCC,DGE,EVR,EXPN,FERG,FLTR,FRES,GSK,GLEN,GVC,HLMA,HL,HIK,HSV,HSBA,IMB,INF,IHG,ICP,IAG,ITRK,ITV,JD,JMAT,JET,KGF,LAND,LGEN,LLOY,LSE,MNG,MRO,MNDI,MRW,NG,NXT,OCDO,PSON,PNN,PSN,PHNX,POLY,PRU,RB,REL,RTO,RIO,RMV,RR,RDSA,RSA,SGE,SBRY,SDR,SMT,SGRO,SVT,SN,SMDS,SMIN,SKG,SPX,SSE,STAN,SLA,STJ,TW,TSCO,ULVR,UU,VOD,WTB,WPP
2016-12-13,6968.60009765625,607.598876953125,1671.2342529296875,1000.63134765625,654.5145874023438,1520.652099609375,2549.408203125,3717.36376953125,378.3895263671875,,1694.2041015625,353.6632385253906,504.2462463378906,204.5918731689453,387.8844909667969,2482.70361328125,1121.77490234375,365.3006591796875,3616.798828125,517.8295288085938,290.5357360839844,1887.5079345703125,1368.1279296875,1424.6358642578125,1287.5831298828125,2410.10302734375,2885.58544921875,5492.0625,1884.2841796875,151.6172637939453,1399.3118896484375,4555.29296875,7540.6181640625,1055.9154052734375,1236.6060791015625,232.13717651367188,536.5696411132812,873.5285034179688,1159.5670166015625,1614.8905029296875,574.534912109375,534.2107543945312,2418.870849609375,587.3526611328125,3333.6748046875,609.9532470703125,341.9271545410156,3133.5107421875,152.64996337890625,333.95184326171875,2800.96337890625,2348.3701171875,0.13706964254379272,924.891357421875,184.19317626953125,49.96016311645508,2613.9248046875,,169.47752380371094,1302.9976806640625,204.42056274414062,831.1817626953125,4449.32666015625,248.6999969482422,696.8197021484375,664.3496704101562,1186.32470703125,480.7259216308594,648.7435302734375,1401.0592041015625,6041.0302734375,1253.565673828125,196.88613891601562,2508.32470703125,329.3276062011719,641.1278076171875,1699.6658935546875,490.8772888183594,580.00390625,216.46054077148438,2523.22314453125,304.433837890625,370.2405090332031,1881.9827880859375,1087.6822509765625,341.9389343261719,1304.781494140625,1529.7291259765625,3987.730712890625,1156.260009765625,611.59765625,307.3706359863281,819.6494140625,-0.027180807664990425,189.46566772460938,2835.935791015625,742.7813110351562,159.371826171875,3238.40625,1430.5736083984375
2016-12-14,6949.2001953125,597.9124755859375,1664.74609375,1021.0090942382812,639.004638671875,1505.679443359375,2547.528564453125,3707.88916015625,373.42327880859375,,1737.7667236328125,352.3230285644531,497.0729064941406,197.16749572753906,382.5813903808594,2447.46337890625,1116.8311767578125,364.0141906738281,3629.796875,517.8295288085938,293.93048095703125,1870.94287109375,1355.1334228515625,1405.48974609375,1277.385986328125,2398.407958984375,2880.9775390625,5482.73779296875,1866.58935546875,150.37594604492188,1400.2447509765625,4524.04052734375,7433.8505859375,1092.9649658203125,1227.95263671875,228.21856689453125,534.830322265625,887.9193115234375,1171.0194091796875,1611.1630859375,577.7809448242188,533.5634155273438,2409.54150390625,589.57421875,3335.610595703125,609.0687255859375,332.27813720703125,3130.699462890625,155.03390502929688,310.3031311035156,2828.325439453125,2349.8798828125,0.13564223051071167,927.6168212890625,182.81118774414062,50.127899169921875,2590.110107421875,,167.67457580566406,1275.0294189453125,205.77493286132812,832.6303100585938,4407.693359375,251.5,701.5953369140625,658.1484985351562,1178.6439208984375,482.4337158203125,690.3078002929688,1395.2769775390625,6020.28271484375,1249.036865234375,196.21937561035156,2505.555908203125,332.78857421875,633.5628662109375,1702.056640625,490.0007019042969,581.3707885742188,219.63079833984375,2521.5048828125,302.3907775878906,368.741455078125,1874.24853515625,1086.74951171875,333.1878356933594,1290.15185546875,1503.85791015625,3998.1748046875,1143.37060546875,624.9609375,307.88311767578125,837.0536499023438,-0.027020923793315887,190.29808044433594,2815.5107421875,736.9976806640625,157.90313720703125,3340.425537109375,1442.765869140625
2016-12-15,6999.0,598.7930297851562,1659.1845703125,980.253662109375,605.7694091796875,1512.229736328125,2532.772216796875,3789.712890625,384.9794006347656,,1745.3426513671875,358.6517333984375,498.7607727050781,204.013916015625,390.4939880371094,2488.87060546875,1080.990478515625,362.87896728515625,3665.94384765625,521.1488647460938,293.84967041015625,1903.15283203125,1349.564453125,1450.7440185546875,1307.0496826171875,2443.3896484375,2914.168212890625,5487.400390625,1865.2281494140625,152.32659912109375,1398.3790283203125,4539.6630859375,7545.06884765625,1031.8328857421875,1248.9678955078125,222.095703125,576.5732421875,891.7568969726562,1184.3807373046875,1627.936279296875,583.8091430664062,541.6561279296875,2430.61767578125,599.3486328125,3416.87158203125,612.6072387695312,345.1435241699219,3103.525390625,156.1463623046875,318.5158386230469,2810.99560546875,2349.8798828125,0.1354043185710907,927.6168212890625,186.49658203125,51.413848876953125,2635.834716796875,,167.67457580566406,1289.8360595703125,206.5875701904297,835.5189819335938,4472.85888671875,254.3000030517578,707.6735229492188,667.6568603515625,1205.87548828125,491.6514892578125,665.8834838867188,1410.8443603515625,6021.18408203125,1259.0,201.2677459716797,2443.0654296875,339.1781005859375,634.9813232421875,1717.196533203125,497.45159912109375,590.0276489257812,220.68760681152344,2556.717041015625,307.793212890625,366.9932556152344,1876.82666015625,1099.8092041015625,335.3141174316406,1289.2374267578125,1525.55615234375,4005.77099609375,1153.9854736328125,629.3543090820312,313.9449462890625,828.7659912109375,-0.027589408680796623,189.51190185546875,2803.966064453125,739.4710693359375,157.46649169921875,3415.302001953125,1457.39697265625
2016-12-16,7011.60009765625,598.7930297851562,1651.7689208984375,961.9985961914062,593.8046875,1507.551025390625,2548.904541015625,3790.573486328125,371.3221435546875,,1748.183837890625,356.3435974121094,500.0266418457031,202.8580322265625,384.6858215332031,2463.321533203125,1075.2232666015625,370.59820556640625,3660.663330078125,521.978759765625,296.6382141113281,1905.91357421875,1382.0506591796875,1443.7818603515625,1311.6845703125,2428.995849609375,2942.7509765625,5464.08984375,1864.7745361328125,155.51853942871094,1410.50634765625,4483.59423828125,7665.1806640625,1019.7918090820312,1257.6214599609375,219.11595153808594,563.9633178710938,896.5538940429688,1179.6090087890625,1669.869384765625,580.5631713867188,539.7138671875,2411.614990234375,596.238525390625,3388.8193359375,615.26123046875,352.1122131347656,3123.203369140625,155.66958618164062,316.73480224609375,2800.96337890625,2343.139892578125,0.1359594166278839,935.793701171875,186.343017578125,50.94260025024414,2669.17529296875,,168.1253204345703,1283.2552490234375,204.78172302246094,840.6674194335938,4480.0986328125,252.3000030517578,713.317626953125,675.9251708984375,1191.21240234375,493.0175476074219,663.7409057617188,1408.175537109375,5966.15869140625,1259.906005859375,209.55465698242188,2445.438720703125,331.5461730957031,638.291015625,1733.1334228515625,499.2046813964844,591.3944702148438,220.15921020507812,2563.58740234375,307.4101257324219,365.9932861328125,1875.967529296875,1103.5404052734375,330.81634521484375,1289.2374267578125,1555.60009765625,3990.579345703125,1150.1943359375,626.9745483398438,312.1520080566406,827.9371948242188,-0.027180807664990425,185.349853515625,2799.08203125,737.794189453125,159.13365173339844,3390.967041015625,1447.642822265625
2016-12-19,7017.2001953125,604.0764770507812,1662.8919677734375,954.7815551757812,586.2713012695312,1435.495361328125,2565.98583984375,3706.596923828125,371.6087341308594,,1745.3426513671875,353.9610595703125,503.40228271484375,197.43426513671875,388.2211608886719,2483.58447265625,1056.272705078125,371.4306945800781,3697.217529296875,525.7131958007812,300.19464111328125,1913.2760009765625,1368.1279296875,1451.6142578125,1326.5164794921875,2422.698486328125,2957.5009765625,5506.048828125,1883.376953125,125.90443420410156,1415.1705322265625,4522.20361328125,7665.1806640625,1031.8328857421875,1263.390380859375,219.11595153808594,562.6588745117188,906.1478271484375,1179.6090087890625,1734.166748046875,577.3171997070312,532.5111694335938,2455.148681640625,605.5686645507812,3409.13720703125,606.4148559570312,348.2066955566406,3141.007568359375,158.9276123046875,312.57891845703125,2829.237548828125,2359.2900390625,0.13591976463794708,937.6080932617188,184.7306365966797,49.96016311645508,2656.79150390625,,168.5760498046875,1299.7071533203125,205.4137725830078,848.0673217773438,4448.42138671875,253.0,714.1859130859375,686.2603759765625,1200.98779296875,488.9201354980469,672.3108520507812,1387.7156982421875,6128.52783203125,1280.7384033203125,210.50721740722656,2412.611328125,332.78857421875,636.3997192382812,1753.0546875,496.13671875,595.4950561523438,218.30984497070312,2546.410888671875,308.1566467285156,369.1578369140625,1902.607177734375,1109.137451171875,331.71551513671875,1291.066162109375,1570.6219482421875,3988.6806640625,1153.2271728515625,609.3093872070312,308.7370300292969,820.8926391601562,-0.02730516530573368,187.107177734375,2858.13623046875,748.6934204101562,160.64202880859375,3384.41552734375,1448.4556884765625
2016-12-20,7044.0,608.0391845703125,1659.1845703125,963.69677734375,591.1458129882812,1459.8258056640625,2544.159912109375,3730.713623046875,372.7547607421875,,1725.45556640625,357.0881652832031,505.09014892578125,202.41343688964844,393.1034240722656,2489.751953125,1065.3359375,374.6849060058594,3700.873046875,526.54296875,297.5677490234375,1905.91357421875,1367.199951171875,1447.262939453125,1330.2242431640625,2437.991943359375,2921.5390625,5510.71240234375,1882.923095703125,128.85989379882812,1407.707763671875,4514.8466796875,7651.83740234375,1010.5293579101562,1266.6865234375,222.58555603027344,562.22412109375,875.4472045898438,1186.2894287109375,1695.029296875,572.6801147460938,530.0833129882812,2438.564208984375,604.6800537109375,3425.5830078125,605.5302124023438,346.4453430175781,3127.888427734375,158.0535125732422,313.9642028808594,2836.533935546875,2350.25,0.1361973136663437,946.6961059570312,187.18759155273438,51.070396423339844,2678.70166015625,,169.47752380371094,1304.6429443359375,205.77493286132812,846.9830322265625,4491.86572265625,256.20001220703125,718.5274047851562,679.232421875,1211.46142578125,487.2131042480469,671.4539184570312,1416.6263427734375,6103.2705078125,1283.4556884765625,208.88792419433594,2447.0205078125,330.92498779296875,639.236572265625,1758.2337646484375,497.8899230957031,594.1282348632812,219.1905059814453,2569.599609375,309.5416564941406,370.3241271972656,1895.7325439453125,1107.2718505859375,329.5893249511719,1283.7513427734375,1576.4637451171875,3916.521484375,1160.80908203125,608.4857177734375,310.44488525390625,822.1358032226562,-0.02741175703704357,189.2806854248047,2881.669677734375,745.759033203125,159.53060913085938,3405.9423828125,1456.5841064453125
2016-12-21,7041.39990234375,600.5542602539062,1655.4766845703125,963.2720336914062,597.7930297851562,1479.4774169921875,2548.904541015625,3714.34912109375,368.6480407714844,,1721.66748046875,356.1947021484375,502.9803466796875,203.39151000976562,395.9654541015625,2488.87060546875,1064.099853515625,375.9335632324219,3704.528076171875,527.7877197265625,300.07342529296875,1901.312255859375,1365.3433837890625,1465.5386962890625,1338.5672607421875,2442.490478515625,2895.72802734375,5464.08984375,1892.9049072265625,128.0914764404297,1422.6336669921875,4539.6630859375,7576.20703125,1012.3817749023438,1259.26953125,221.76918029785156,553.0928344726562,871.6096801757812,1150.9775390625,1671.733154296875,567.1156005859375,530.4879760742188,2423.362060546875,598.4599609375,3403.32958984375,602.4340209960938,344.91375732421875,3109.147216796875,158.9276123046875,318.2190246582031,2853.863037109375,2350.1201171875,0.13750576972961426,952.1473388671875,188.49282836914062,51.34196090698242,2678.70166015625,,169.25216674804688,1304.6429443359375,206.4972686767578,844.003173828125,4462.90234375,256.0,715.9224853515625,675.0983276367188,1219.8406982421875,489.2618103027344,672.3108520507812,1417.071044921875,6083.42529296875,1284.3614501953125,209.2689208984375,2461.2587890625,330.0375061035156,647.7471313476562,1751.062255859375,499.6429748535156,595.95068359375,218.48599243164062,2547.269775390625,307.3511657714844,369.24139404296875,1894.0135498046875,1102.607666015625,329.5893249511719,1291.066162109375,1581.470947265625,3932.662353515625,1160.80908203125,610.5908203125,309.7620544433594,818.4063110351562,-0.02741175703704357,188.91073608398438,2871.901123046875,744.0820922851562,158.45887756347656,3383.479248046875,1456.5841064453125
2016-12-22,7063.7001953125,604.9570922851562,1659.1845703125,956.0551147460938,595.5772094726562,1479.4774169921875,2566.934814453125,3740.187255859375,377.2434387207031,,1724.508544921875,358.7261962890625,500.4486083984375,201.83551025390625,400.6792907714844,2517.0634765625,1046.797607421875,380.66351318359375,3693.15625,527.7877197265625,299.8309326171875,1918.7977294921875,1376.0941162109375,1483.8143310546875,1350.6180419921875,2446.98828125,2912.323486328125,5659.9013671875,1891.5435791015625,132.34738159179688,1441.2911376953125,4535.98876953125,7771.95751953125,1041.09521484375,1272.8677978515625,222.054931640625,561.3544311523438,876.8864135742188,1159.5670166015625,1689.4381103515625,568.5067138671875,530.2451782226562,2419.216064453125,597.1271362304688,3442.02880859375,607.7417602539062,345.296630859375,3199.104736328125,161.94723510742188,319.5053405761719,2892.17041015625,2349.8798828125,0.13873490691184998,953.0504150390625,189.03028869628906,51.11831283569336,2694.8955078125,,171.0550994873047,1317.804443359375,207.5807647705078,842.9188842773438,4479.1943359375,257.8999938964844,711.1468505859375,680.0592041015625,1231.0125732421875,494.7244873046875,691.164794921875,1426.8563232421875,6147.47119140625,1297.94775390625,209.7451934814453,2437.13330078125,342.3728942871094,645.3831176757812,1763.81201171875,502.7109375,597.3175659179688,219.01438903808594,2548.987548828125,307.6654968261719,369.82415771484375,1898.3104248046875,1119.398681640625,332.2060546875,1291.066162109375,1578.1326904296875,3954.5,1164.6002197265625,607.5704345703125,312.579345703125,823.37890625,-0.02751835249364376,188.4020233154297,2896.321533203125,745.759033203125,158.5779266357422,3466.779541015625,1463.8994140625
2016-12-23,7068.2001953125,612.001708984375,1667.5267333984375,955.6305541992188,598.6791381835938,1466.37646484375,2561.2412109375,3795.74169921875,386.698486328125,,1735.8726806640625,357.6093444824219,500.87054443359375,200.0127716064453,395.03948974609375,2512.65869140625,1036.086669921875,380.66351318359375,3702.49755859375,531.9369506835938,299.3459777832031,1921.55859375,1367.6807861328125,1493.387451171875,1349.69091796875,2459.582763671875,2904.02587890625,5645.91552734375,1902.8865966796875,133.0567169189453,1448.754150390625,4539.6630859375,7740.8095703125,1029.9803466796875,1276.5762939453125,220.95281982421875,561.3544311523438,865.853271484375,1164.3389892578125,1686.6424560546875,570.361572265625,523.2045288085938,2445.474609375,596.6829223632812,3483.622802734375,608.62646484375,350.12115478515625,3183.175048828125,161.70883178710938,312.38104248046875,2875.753173828125,2357.8798828125,0.13746611773967743,972.1294555664062,189.64453125,50.95857238769531,2709.184814453125,,171.28045654296875,1320.272216796875,207.4001922607422,858.9932861328125,4454.7568359375,255.0,709.4102172851562,683.3665161132812,1232.4090576171875,498.1385498046875,680.8809814453125,1427.74609375,6143.86328125,1302.476318359375,210.12620544433594,2423.685546875,347.2537841796875,643.4918212890625,1763.81201171875,505.7789611816406,595.95068359375,219.01438903808594,2563.58740234375,309.6202392578125,378.6512451171875,1914.63818359375,1122.197021484375,329.5893249511719,1291.98046875,1567.28369140625,3934.56103515625,1178.247802734375,605.5567626953125,310.9566345214844,827.522705078125,-0.02734069712460041,190.39056396484375,2906.090576171875,754.5621948242188,159.21304321289062,3521.06494140625,1459.0223388671875
2016-12-28,7106.10009765625,612.4420776367188,1666.5997314453125,989.593505859375,607.5419311523438,1505.679443359375,2580.220458984375,3804.3544921875,387.36700439453125,,1776.5941162109375,360.36419677734375,505.5121154785156,199.83494567871094,391.4198913574219,2481.82275390625,1080.578369140625,385.1285400390625,3709.808349609375,516.584716796875,297.4869079589844,1921.55859375,1388.247314453125,1491.6468505859375,1362.6688232421875,2478.47509765625,2913.241455078125,5683.21240234375,1894.26611328125,131.51983642578125,1467.41162109375,4561.7197265625,7820.890625,1083.70263671875,1278.63671875,226.05517578125,557.8759155273438,871.6096801757812,1152.88623046875,1697.8248291015625,574.0712890625,528.3839721679688,2437.528076171875,597.5714721679688,3450.7314453125,607.7417602539062,340.47216796875,3215.03466796875,161.152587890625,317.9221496582031,2893.99462890625,2357.8798828125,0.13778331875801086,943.9705200195312,188.95350646972656,50.75889587402344,2722.521240234375,,174.6610107421875,1366.3380126953125,207.0390167236328,853.3067626953125,4458.37744140625,260.3999938964844,707.2394409179688,682.9530029296875,1217.745849609375,495.0663146972656,711.3041381835938,1432.6385498046875,6184.45556640625,1305.1937255859375,210.221435546875,2504.76513671875,348.407470703125,649.1655883789062,1779.74853515625,505.34063720703125,597.3175659179688,218.39793395996094,2561.86962890625,312.1250305175781,374.1540832519531,1900.8885498046875,1132.45849609375,334.0052490234375,1312.09619140625,1584.8092041015625,4035.2041015625,1173.69873046875,603.8177490234375,315.2261962890625,829.5946044921875,-0.027234099805355072,189.04946899414062,2910.97412109375,749.5317993164062,158.30007934570312,3505.15380859375,1476.90478515625
2016-12-29,7120.2998046875,613.3226318359375,1679.57666015625,985.7725219726562,599.5654296875,1471.0552978515625,2590.65869140625,3812.9677734375,391.3782043457031,,1773.753173828125,361.55548095703125,502.136474609375,197.7010040283203,390.4939880371094,2485.346435546875,1071.92724609375,386.8691711425781,3733.771484375,521.5637817382812,303.834716796875,1920.638427734375,1387.3123779296875,1507.3116455078125,1371.9385986328125,2502.765380859375,2933.5263671875,5683.21240234375,1906.5162353515625,129.45098876953125,1479.200927734375,4555.29296875,7758.60498046875,1133.7193603515625,1287.7021484375,224.91221618652344,561.3544311523438,873.8582763671875,1159.5670166015625,1730.439453125,572.6801147460938,526.1988525390625,2452.384521484375,603.79150390625,3466.208740234375,611.72265625,339.4765930175781,3215.971923828125,162.10617065429688,316.6358337402344,2898.5546875,2315.820068359375,0.1377040147781372,953.0504150390625,190.9497528076172,50.14387512207031,2719.662841796875,,176.46397399902344,1369.6282958984375,207.67108154296875,857.0066528320312,4474.66845703125,257.0,710.712646484375,689.567626953125,1219.1424560546875,501.2116394042969,737.8709106445312,1436.6416015625,6188.0634765625,1310.6282958984375,211.07870483398438,2491.71337890625,349.827392578125,641.1278076171875,1790.1075439453125,507.97039794921875,600.0512084960938,220.15921020507812,2560.15234375,312.24285888671875,378.06854248046875,1922.37255859375,1129.659912109375,334.0870056152344,1290.15185546875,1575.629150390625,3973.4892578125,1185.0716552734375,596.5868530273438,315.7387390136719,832.0809326171875,-0.027216339483857155,190.8992462158203,2921.1865234375,760.850341796875,159.09396362304688,3494.858154296875,1466.3380126953125
2016-12-30,7142.7998046875,619.9269409179688,1693.4803466796875,984.9234008789062,598.236083984375,1478.54150390625,2604.893310546875,3822.01123046875,390.61419677734375,,1779.435302734375,362.151123046875,499.18267822265625,198.67904663085938,389.2313537597656,2473.8935546875,1076.458740234375,385.6582946777344,3754.07861328125,522.393798828125,300.5174865722656,1940.884521484375,1399.46533203125,1540.382080078125,1391.4053955078125,2545.947021484375,2946.43212890625,5631.9287109375,1914.6832275390625,131.10606384277344,1478.2615966796875,4560.80419921875,7807.546875,1130.9407958984375,1287.2900390625,226.4225616455078,558.7455444335938,866.1377563476562,1157.6580810546875,1763.98583984375,574.9986572265625,531.6210327148438,2447.892822265625,604.2357177734375,3519.418212890625,619.2420043945312,337.638671875,3261.8876953125,164.01327514648438,314.5579528808594,2902.203125,2315.820068359375,0.1388935148715973,968.5008544921875,190.10519409179688,49.928218841552734,2775.866455078125,,178.2669219970703,1370.4508056640625,208.30311584472656,859.2664184570312,4509.96728515625,264.1000061035156,710.712646484375,683.7799682617188,1240.089599609375,501.8943176269531,732.72900390625,1447.760986328125,6211.51708984375,1312.4398193359375,211.6502227783203,2498.436767578125,346.3663330078125,631.671630859375,1786.920654296875,513.6680297851562,596.8619384765625,219.54275512695312,2574.752197265625,307.9798889160156,381.4830322265625,1909.48193359375,1138.9881591796875,333.7600402832031,1294.7235107421875,1572.2908935546875,3972.539306640625,1177.4896240234375,607.3872680664062,317.61688232421875,840.36865234375,-0.027269631624221802,191.31549072265625,2923.851318359375,755.400634765625,158.65731811523438,3534.16845703125,1476.091796875
2017-01-03,7177.89990234375,626.9715576171875,1706.4571533203125,986.6217041015625,611.5302124023438,1494.449951171875,2572.62841796875,3823.30322265625,392.14227294921875,,1781.3292236328125,367.28857421875,498.7607727050781,206.1923065185547,391.4198913574219,2497.68115234375,1096.645263671875,391.4855651855469,3746.361572265625,520.7341918945312,304.2442626953125,1953.7686767578125,1402.27001953125,1542.992919921875,1368.230712890625,2483.873291015625,2980.549560546875,5795.10546875,1904.7015380859375,130.5740966796875,1489.53173828125,4557.130859375,7807.546875,1172.6217041015625,1287.2900390625,232.994384765625,565.2678833007812,855.5221557617188,1215.8751220703125,1760.2586669921875,573.6074829101562,538.8237915039062,2442.019287109375,606.012939453125,3563.916259765625,624.5498657226562,340.85504150390625,3263.76123046875,165.2847137451172,315.6463928222656,2905.85107421875,2349.860107421875,0.13560259342193604,948.5104370117188,191.18006896972656,51.613525390625,2762.530517578125,,178.49229431152344,1364.692626953125,208.39340209960938,851.1381225585938,4317.18701171875,262.1000061035156,708.5418090820312,684.6067504882812,1228.917724609375,516.5755615234375,747.2979125976562,1457.1015625,6119.50830078125,1310.6282958984375,211.9359893798828,2481.03466796875,350.09356689453125,633.5628662109375,1797.6778564453125,504.9023742675781,593.2169799804688,222.27273559570312,2611.681396484375,316.289794921875,377.2358703613281,1909.48193359375,1130.5926513671875,339.1578063964844,1291.98046875,1582.3055419921875,3995.326904296875,1179.006103515625,620.3844604492188,323.4224548339844,858.6015014648438,-0.027624938637018204,190.66802978515625,2908.31103515625,753.3046875,160.6817169189453,3538.84814453125,1483.4073486328125
2017-01-04,7189.7001953125,631.3743896484375,1695.334228515625,970.0648803710938,612.8595581054688,1489.7711181640625,2476.78369140625,3855.602294921875,389.3725891113281,,1766.1771240234375,366.99072265625,493.6971435546875,208.94866943359375,407.3292236328125,2494.15673828125,1081.8143310546875,392.9991149902344,3729.70947265625,519.9041137695312,311.6977844238281,1927.080322265625,1373.2896728515625,1550.825439453125,1365.4498291015625,2477.57568359375,2985.15771484375,5809.091796875,1927.3873291015625,128.85989379882812,1483.8968505859375,4578.26416015625,7803.09521484375,1217.0811767578125,1295.119384765625,230.91265869140625,573.0947265625,862.7600708007812,1220.6470947265625,1746.28076171875,566.1881713867188,542.3035888671875,2445.12890625,600.2371826171875,3588.105224609375,628.0882568359375,343.9181823730469,3248.768798828125,160.04010009765625,310.9957580566406,2896.73046875,2354.8798828125,0.13496817648410797,949.4216918945312,193.63702392578125,51.733333587646484,2776.818603515625,,176.0132293701172,1359.7572021484375,209.3865966796875,844.2763061523438,3697.213134765625,260.3999938964844,698.1221923828125,677.1654052734375,1263.830322265625,515.2103271484375,762.2952270507812,1460.6597900390625,6088.83740234375,1301.57080078125,209.36416625976562,2460.072265625,347.2537841796875,631.1988525390625,1812.8175048828125,504.9023742675781,595.0394287109375,222.27273559570312,2593.646240234375,316.09332275390625,382.8148498535156,1890.576171875,1129.659912109375,338.1768493652344,1292.894775390625,1602.3349609375,3992.478515625,1164.6002197265625,625.3270874023438,322.9958801269531,867.7178955078125,-0.028673086315393448,190.0668487548828,2919.41064453125,747.0166625976562,163.30152893066406,3584.710205078125,1472.840576171875
2017-01-05,7195.2998046875,636.2175903320312,1694.4072265625,972.1875610351562,619.9497680664062,1498.193115234375,2547.95556640625,3918.90673828125,393.4964904785156,,1810.04541015625,364.83154296875,495.8070373535156,206.770263671875,418.7771911621094,2569.92431640625,1084.6981201171875,391.4855651855469,3720.3681640625,526.8732299804688,314.8512268066406,1916.036865234375,1355.5274658203125,1539.5118408203125,1354.3258056640625,2481.174072265625,3021.1103515625,5879.02490234375,1937.368896484375,126.79105377197266,1473.5657958984375,4560.80419921875,7905.41162109375,1294.8856201171875,1305.0087890625,237.4436492919922,566.137451171875,868.5504150390625,1226.3734130859375,1804.9871826171875,571.2889404296875,535.34375,2446.5107421875,610.4559326171875,3594.880615234375,636.4923095703125,358.3917236328125,3220.6572265625,162.5829620361328,312.47998046875,2866.63232421875,2354.8798828125,0.13611802458763123,947.5990600585938,189.95164489746094,51.63748550415039,2771.103271484375,,176.2386016845703,1367.9830322265625,210.4700927734375,849.5157470703125,3700.83349609375,258.29998779296875,705.502685546875,682.9530029296875,1354.6024169921875,515.2103271484375,778.5780029296875,1424.187744140625,6053.65771484375,1297.0419921875,211.36444091796875,2460.46826171875,356.838134765625,604.7216186523438,1803.6544189453125,503.1492614746094,595.4950561523438,220.5995330810547,2594.5048828125,317.2720642089844,387.31207275390625,1906.0445556640625,1138.05517578125,344.8008728027344,1302.9527587890625,1646.56591796875,3994.376953125,1171.4241943359375,631.8255615234375,310.10345458984375,870.2042846679688,-0.030094308778643608,184.1012420654297,2929.623291015625,754.5621948242188,166.27859497070312,3651.1630859375,1487.4713134765625
2017-01-06,7210.10009765625,637.0982055664062,1696.2611083984375,963.69677734375,615.0752563476562,1489.7711181640625,2519.4873046875,3919.337890625,393.7842102050781,,1834.8404541015625,364.3847961425781,510.5756530761719,209.1709442138672,415.7468566894531,2547.01806640625,1085.1099853515625,389.3665466308594,3715.494384765625,534.4299926757812,314.9740905761719,1915.1165771484375,1377.0291748046875,1556.9171142578125,1351.544921875,2489.270751953125,2994.372802734375,5790.4423828125,1945.0823974609375,126.90926361083984,1473.5657958984375,4581.94775390625,7843.1357421875,1249.4996337890625,1305.0087890625,235.48434448242188,562.22412109375,877.7183837890625,1230.190673828125,1785.41845703125,570.361572265625,541.4133911132812,2445.12890625,609.5672607421875,3546.51123046875,630.2999877929688,357.3196105957031,3260.950439453125,163.29812622070312,312.1831359863281,2882.13720703125,2352.8798828125,0.13663350045681,960.323974609375,191.64077758789062,52.63589096069336,2785.392333984375,,179.39376831054688,1354.821533203125,213.3594512939453,852.760498046875,3709.88427734375,258.5,706.3710327148438,680.0592041015625,1350.4130859375,511.1128234863281,761.009765625,1434.417724609375,6032.00927734375,1303.3822021484375,211.5549774169922,2448.20703125,358.5242614746094,615.1233520507812,1806.841064453125,505.34063720703125,599.1399536132812,221.92047119140625,2592.787353515625,322.4781188964844,394.057373046875,1903.4666748046875,1130.5926513671875,341.0388488769531,1320.325439453125,1660.7530517578125,4029.50732421875,1167.633056640625,636.7681274414062,310.78631591796875,878.491943359375,-0.029934421181678772,184.51744079589844,2925.183349609375,752.0469970703125,167.7869873046875,3688.60107421875,1495.599609375
2017-01-09,7237.7998046875,638.859375,1694.4072265625,980.253662109375,623.9381103515625,1481.3489990234375,2531.823486328125,3968.431640625,391.578369140625,,1839.60888671875,362.2256164550781,504.2462463378906,208.10398864746094,417.0937194824219,2528.5166015625,1104.4725341796875,388.6097412109375,3797.537353515625,525.61376953125,316.1208190917969,1942.72509765625,1403.2047119140625,1575.193115234375,1349.69091796875,2502.765380859375,3019.265869140625,5785.78076171875,1968.6754150390625,122.23958587646484,1482.9576416015625,4592.05712890625,7887.6259765625,1268.9510498046875,1315.310302734375,243.85220336914062,553.0928344726562,892.6769409179688,1231.14501953125,1792.8731689453125,570.361572265625,541.3324584960938,2499.02783203125,618.8973999023438,3580.3623046875,632.0691528320312,357.77911376953125,3260.013671875,164.8873748779297,325.244384765625,2907.675537109375,2350.639892578125,0.13774366676807404,939.42236328125,191.02651977539062,52.09275436401367,2787.29736328125,,178.71766662597656,1355.64404296875,214.3526611328125,858.4552001953125,3653.77001953125,261.5,710.712646484375,678.8190307617188,1353.904296875,514.1859130859375,786.291015625,1423.2982177734375,6136.64697265625,1317.8743896484375,212.88848876953125,2478.26611328125,361.8077697753906,625.0523071289062,1796.8804931640625,503.5875549316406,611.4417724609375,224.38626098632812,2603.9521484375,328.56817626953125,391.05926513671875,1902.607177734375,1138.05517578125,341.5292663574219,1325.8115234375,1689.9625244140625,4032.35546875,1166.1165771484375,638.0496215820312,307.7979736328125,876.005615234375,-0.030112072825431824,185.8585662841797,2970.029052734375,752.8854370117188,165.0877685546875,3617.46826171875,1515.920166015625
